filename,split,label,label_str
test_0000.npy,test,0,FRI
test_0001.npy,test,0,FRI
test_0002.npy,test,0,FRI
test_0003.npy,test,0,FRI
test_0004.npy,test,0,FRI
test_0005.npy,test,0,FRI
test_0006.npy,test,0,FRI
test_0007.npy,test,0,FRI
test_0008.npy,test,0,FRI
test_0009.npy,test,0,FRI
test_0010.npy,test,0,FRI
test_0011.npy,test,0,FRI
test_0012.npy,test,0,FRI
test_0013.npy,test,0,FRI
test_0014.npy,test,0,FRI
test_0015.npy,test,0,FRI
test_0016.npy,test,0,FRI
test_0017.npy,test,0,FRI
test_0018.npy,test,0,FRI
test_0019.npy,test,0,FRI
test_0020.npy,test,0,FRI
test_0021.npy,test,0,FRI
test_0022.npy,test,0,FRI
test_0023.npy,test,0,FRI
test_0024.npy,test,0,FRI
test_0025.npy,test,0,FRI
train_0000.npy,train,0,FRI
train_0001.npy,train,0,FRI
train_0002.npy,train,0,FRI
test_0026.npy,test,0,FRI
valid_0000.npy,valid,0,FRI
train_0003.npy,train,0,FRI
train_0004.npy,train,0,FRI
train_0005.npy,train,0,FRI
train_0006.npy,train,0,FRI
train_0007.npy,train,0,FRI
train_0008.npy,train,0,FRI
valid_0001.npy,valid,0,FRI
valid_0002.npy,valid,0,FRI
valid_0003.npy,valid,0,FRI
test_0027.npy,test,0,FRI
valid_0004.npy,valid,0,FRI
train_0009.npy,train,0,FRI
train_0010.npy,train,0,FRI
valid_0005.npy,valid,0,FRI
train_0011.npy,train,0,FRI
train_0012.npy,train,0,FRI
test_0028.npy,test,0,FRI
train_0013.npy,train,0,FRI
train_0014.npy,train,0,FRI
train_0015.npy,train,0,FRI
train_0016.npy,train,0,FRI
valid_0006.npy,valid,0,FRI
train_0017.npy,train,0,FRI
train_0018.npy,train,0,FRI
train_0019.npy,train,0,FRI
train_0020.npy,train,0,FRI
train_0021.npy,train,0,FRI
train_0022.npy,train,0,FRI
valid_0007.npy,valid,0,FRI
train_0023.npy,train,0,FRI
train_0024.npy,train,0,FRI
train_0025.npy,train,0,FRI
test_0029.npy,test,0,FRI
train_0026.npy,train,0,FRI
train_0027.npy,train,0,FRI
