filename,split,label,label_str,source
train_0000.npy,train,0,FRI,data_batch_1
train_0001.npy,train,0,FRI,data_batch_1
train_0002.npy,train,0,FRI,data_batch_1
train_0003.npy,train,0,FRI,data_batch_1
train_0004.npy,train,0,FRI,data_batch_1
train_0005.npy,train,0,FRI,data_batch_1
train_0006.npy,train,0,FRI,data_batch_1
train_0007.npy,train,0,FRI,data_batch_1
train_0008.npy,train,0,FRI,data_batch_1
train_0009.npy,train,0,FRI,data_batch_1
train_0010.npy,train,0,FRI,data_batch_1
train_0011.npy,train,0,FRI,data_batch_1
train_0012.npy,train,0,FRI,data_batch_1
train_0013.npy,train,0,FRI,data_batch_1
train_0014.npy,train,0,FRI,data_batch_1
train_0015.npy,train,0,FRI,data_batch_1
train_0016.npy,train,0,FRI,data_batch_1
train_0017.npy,train,0,FRI,data_batch_1
train_0018.npy,train,0,FRI,data_batch_1
train_0019.npy,train,0,FRI,data_batch_1
train_0020.npy,train,0,FRI,data_batch_1
train_0021.npy,train,0,FRI,data_batch_1
train_0022.npy,train,0,FRI,data_batch_1
train_0023.npy,train,0,FRI,data_batch_1
train_0024.npy,train,0,FRI,data_batch_1
train_0025.npy,train,0,FRI,data_batch_1
train_0026.npy,train,0,FRI,data_batch_1
train_0027.npy,train,0,FRI,data_batch_1
train_0028.npy,train,0,FRI,data_batch_1
train_0029.npy,train,0,FRI,data_batch_1
train_0030.npy,train,0,FRI,data_batch_1
train_0031.npy,train,0,FRI,data_batch_1
train_0032.npy,train,0,FRI,data_batch_1
train_0033.npy,train,0,FRI,data_batch_1
train_0034.npy,train,0,FRI,data_batch_1
train_0035.npy,train,0,FRI,data_batch_1
train_0036.npy,train,0,FRI,data_batch_1
train_0037.npy,train,0,FRI,data_batch_1
train_0038.npy,train,0,FRI,data_batch_1
train_0039.npy,train,1,FRII,data_batch_1
train_0040.npy,train,1,FRII,data_batch_1
train_0041.npy,train,1,FRII,data_batch_1
train_0042.npy,train,1,FRII,data_batch_1
train_0043.npy,train,1,FRII,data_batch_1
train_0044.npy,train,1,FRII,data_batch_1
train_0045.npy,train,1,FRII,data_batch_1
train_0046.npy,train,1,FRII,data_batch_1
train_0047.npy,train,1,FRII,data_batch_1
train_0048.npy,train,1,FRII,data_batch_1
train_0049.npy,train,1,FRII,data_batch_1
train_0050.npy,train,1,FRII,data_batch_1
train_0051.npy,train,1,FRII,data_batch_1
train_0052.npy,train,1,FRII,data_batch_1
train_0053.npy,train,1,FRII,data_batch_1
